key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,,,trials.thisRepN,trials.intensity,,,key_resp.corr,,trials.thisRepN,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.4307953,34.0733291,34.0733291,34.3817239,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,1,0.05,,,0,in,1,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,up,0.01,db,0.050057598,0.0010593,36.5133199,36.5133199,36.8129134,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,2,0.050057598,,,0,in,2,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.050115262,0.0019583,38.9608394,38.9608394,39.2605749,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,3,0.050115262,,,0,in,3,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.050172992,0.0012243,41.5253381,41.5253381,41.8248664,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,4,0.050172992,,,0,in,4,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.05023079,0.0010977,43.9230838,43.9230838,44.2225776,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,5,0.05023079,,,0,in,5,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.050288653,0.0011343,46.3541141,46.3541141,46.6536121,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,6,0.050288653,,6,0,in,6,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.05023079,0.0011886,48.751768,48.751768,49.0514024,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,7,0.05023079,,,1,cor,7,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.05023079,0.0012364,51.2495256,51.2495256,51.5490973,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,8,0.05023079,,,1,cor,8,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.01,db,0.05023079,0.0011783,53.7138465,53.7138465,54.0134595,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,9,0.05023079,,,1,cor,9,,,,,incorrect,50
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.050172992,0.0011597,56.2115309,56.2115309,56.511187,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,10,0.050172992,,,1,cor,10,,11,,,correct,50
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,down,0.01,db,0.050172992,0.0011452,58.6759887,58.6759887,58.9754624,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,11,0.050172992,,,1,cor,11,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.01,db,0.050172992,0.0011369,61.1902336,61.1902336,61.489752,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,12,0.050172992,,,1,cor,12,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.005,db,0.050201883,0.0011498,63.6547089,63.6547089,63.9541652,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,13,0.050201883,,,0,in,13,,,50,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.005,db,0.05023079,0.0012175,66.1689597,66.1689597,66.4684401,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,14,0.05023079,,2,0,in,14,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.005,db,0.05023079,0.0011328,68.5833138,68.5833138,68.8829268,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,15,0.05023079,,,1,cor,15,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.005,db,0.050259713,0.0011568,71.1642657,71.1642657,71.4637579,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,16,0.050259713,,1,0,in,16,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.005,db,0.050259713,0.0012188,73.7951728,73.7951728,74.0945798,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,17,0.050259713,,,1,cor,17,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.005,db,0.050288653,0.0007915,76.2925855,76.2925855,76.5922621,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,18,0.050288653,,,0,in,18,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.005,db,0.05031761,0.001182,78.7566926,78.7566926,79.0565152,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,19,0.05031761,,2,0,in,19,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.05031761,0.0010332,81.2048372,81.2048372,81.5044772,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,20,0.05031761,,,1,cor,20,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.05031761,0.0011502,83.7191479,83.7191479,84.0187718,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,21,0.05031761,,,1,cor,21,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.050346583,0.0012079,86.2167889,86.2167889,86.5164776,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,22,0.050346583,,,0,in,22,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.050375574,0.0011467,88.6313009,88.6313009,88.9308314,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,23,0.050375574,,,0,in,23,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.05040458,0.0011715,91.0790125,91.0790125,91.3785052,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,24,0.05040458,,3,0,in,24,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05040458,0.0011773,93.5933825,93.5933825,93.8928367,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,25,0.05040458,,,1,cor,25,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05040458,0.0011859,96.2908011,96.2908011,96.590283,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,26,0.05040458,,,1,cor,26,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.005,db,0.050375574,0.0012657,98.7050913,98.7050913,99.0048075,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,27,0.050375574,,,1,cor,27,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.005,db,0.050375574,0.0012434,101.1861263,101.1861263,101.4857107,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,28,0.050375574,,,1,cor,28,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,down,0.005,db,0.050375574,0.0011866,103.650637,103.650637,103.9500968,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,29,0.050375574,,,1,cor,29,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.05040458,0.0011737,106.1649469,106.1649469,106.4644265,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,30,0.05040458,,1,0,in,30,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.05040458,0.0012259,108.6792591,108.6792591,108.9787602,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,31,0.05040458,,,1,cor,31,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.05040458,0.0011822,111.2767458,111.2767458,111.5764325,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,32,0.05040458,,,1,cor,32,,10,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,down,0.005,db,0.050375574,0.0011863,113.7411149,113.7411149,114.0408083,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,33,0.050375574,,,1,cor,33,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05040458,0.0011709,116.2886947,116.2886947,116.5884312,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,34,0.05040458,,,0,in,34,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.050433604,0.0011261,118.7697872,118.7697872,119.0693376,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,35,0.050433604,,2,0,in,35,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.050433604,0.0011642,121.2008026,121.2008026,121.5004504,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,36,0.050433604,,,1,cor,36,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.050433604,0.0011971,123.7817913,123.7817913,124.0813178,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,37,0.050433604,,,1,cor,37,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.050462644,0.0011809,126.3126977,126.3126977,126.6122786,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,38,0.050462644,,1,0,in,38,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050462644,0.0011699,128.7272703,128.7272703,129.0267697,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,39,0.050462644,,,1,cor,39,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050462644,0.0011523,131.2749139,131.2749139,131.574347,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,40,0.050462644,,,1,cor,40,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050491701,0.0011306,134.0222866,134.0222866,134.3217857,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,41,0.050491701,,,0,in,41,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050520775,0.0011121,136.5032749,136.5032749,136.802782,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,42,0.050520775,,2,0,in,42,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.050520775,0.0012163,139.0341376,139.0341376,139.3338641,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,43,0.050520775,,,1,cor,43,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.050520775,0.0011532,142.2312567,142.2312567,142.5308203,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,44,0.050520775,,,1,cor,44,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.005,db,0.050491701,0.0011871,144.6289538,144.6289538,144.9285481,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,45,0.050491701,,,1,cor,45,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.050520775,0.0012306,147.043332,147.043332,147.3428435,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,46,0.050520775,,1,0,in,46,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050520775,0.0011535,149.5076904,149.5076904,149.8072835,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,47,0.050520775,,,1,cor,47,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050520775,0.0012073,152.0886367,152.0886367,152.3882709,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,48,0.050520775,,,1,cor,48,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.005,db,0.050491701,0.0011504,154.5363888,154.5363888,154.8358755,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,49,0.050491701,,,1,cor,49,,,,,,
